date,technician_id,technician_name,service_type,vehicle_type,scheduled_time,actual_completion_time,turnaround_minutes,on_time,csat_score,comeback,service_accurate,tires_serviced
2024-01-02,T01,Marcus J.,Tire Mount & Balance,SUV,09:00,09:42,42,1,5,0,1,4
2024-01-02,T02,Devon R.,Tire Rotation,Sedan,10:00,10:28,28,1,4,0,1,4
2024-01-02,T03,Keisha M.,Flat Repair,Truck,11:30,12:05,35,1,5,0,1,1
2024-01-02,T01,Marcus J.,Tire Mount & Balance,Sedan,13:00,13:55,55,1,4,0,1,4
2024-01-02,T04,Andre L.,Tire Rotation,SUV,14:00,14:52,52,1,3,0,1,4
2024-01-03,T02,Devon R.,Tire Mount & Balance,Truck,08:30,09:28,58,1,5,0,1,6
2024-01-03,T03,Keisha M.,Tire Rotation,Sedan,09:00,09:35,35,1,4,0,1,4
2024-01-03,T01,Marcus J.,Flat Repair,SUV,10:00,10:20,20,1,5,0,1,1
2024-01-03,T04,Andre L.,Tire Mount & Balance,Sedan,11:00,12:10,70,0,3,1,0,4
2024-01-03,T02,Devon R.,Tire Rotation,Truck,13:30,14:15,45,1,4,0,1,4
2024-01-04,T01,Marcus J.,Tire Mount & Balance,SUV,08:00,08:50,50,1,5,0,1,4
2024-01-04,T03,Keisha M.,Flat Repair,Sedan,09:30,09:55,25,1,5,0,1,1
2024-01-04,T04,Andre L.,Tire Mount & Balance,Truck,10:00,11:05,65,0,3,0,1,6
2024-01-04,T02,Devon R.,Tire Rotation,SUV,11:00,11:40,40,1,4,0,1,4
2024-01-04,T01,Marcus J.,Tire Mount & Balance,Sedan,13:00,14:00,60,0,4,0,1,4
2024-01-05,T03,Keisha M.,Tire Mount & Balance,SUV,08:30,09:25,55,1,5,0,1,4
2024-01-05,T04,Andre L.,Tire Rotation,Truck,09:00,09:45,45,1,4,0,1,4
2024-01-05,T02,Devon R.,Flat Repair,Sedan,10:30,10:50,20,1,5,0,1,1
2024-01-05,T01,Marcus J.,Tire Mount & Balance,SUV,11:00,12:05,65,0,3,1,0,4
2024-01-05,T03,Keisha M.,Tire Rotation,Sedan,13:00,13:38,38,1,4,0,1,4
2024-01-08,T04,Andre L.,Tire Mount & Balance,Truck,08:00,09:00,60,0,3,0,1,6
2024-01-08,T01,Marcus J.,Tire Rotation,SUV,09:00,09:32,32,1,5,0,1,4
2024-01-08,T02,Devon R.,Flat Repair,Sedan,10:00,10:18,18,1,5,0,1,1
2024-01-08,T03,Keisha M.,Tire Mount & Balance,Truck,11:30,12:20,50,1,4,0,1,4
2024-01-08,T04,Andre L.,Tire Rotation,Sedan,13:00,13:42,42,1,4,0,1,4
2024-01-09,T01,Marcus J.,Tire Mount & Balance,SUV,08:30,09:28,58,1,5,0,1,4
2024-01-09,T02,Devon R.,Flat Repair,Truck,09:00,09:22,22,1,5,0,1,1
2024-01-09,T03,Keisha M.,Tire Rotation,Sedan,10:00,10:44,44,1,3,0,1,4
2024-01-09,T04,Andre L.,Tire Mount & Balance,SUV,11:00,12:08,68,0,3,1,0,4
2024-01-09,T01,Marcus J.,Tire Rotation,Truck,13:30,14:10,40,1,4,0,1,4
2024-01-10,T02,Devon R.,Tire Mount & Balance,Sedan,08:00,08:55,55,1,4,0,1,4
2024-01-10,T03,Keisha M.,Flat Repair,SUV,09:00,09:20,20,1,5,0,1,1
2024-01-10,T04,Andre L.,Tire Mount & Balance,Truck,10:00,11:10,70,0,2,1,0,6
2024-01-10,T01,Marcus J.,Tire Rotation,Sedan,11:00,11:38,38,1,5,0,1,4
2024-01-10,T02,Devon R.,Tire Mount & Balance,SUV,13:00,13:58,58,1,4,0,1,4
2024-01-11,T03,Keisha M.,Tire Rotation,Truck,08:30,09:12,42,1,4,0,1,4
2024-01-11,T04,Andre L.,Flat Repair,Sedan,09:00,09:19,19,1,5,0,1,1
2024-01-11,T01,Marcus J.,Tire Mount & Balance,SUV,10:00,10:52,52,1,4,0,1,4
2024-01-11,T02,Devon R.,Tire Rotation,Truck,11:00,11:48,48,1,3,0,1,4
2024-01-11,T03,Keisha M.,Tire Mount & Balance,Sedan,13:00,14:05,65,0,4,0,1,4
2024-01-12,T04,Andre L.,Tire Mount & Balance,SUV,08:00,08:58,58,1,5,0,1,4
2024-01-12,T01,Marcus J.,Flat Repair,Truck,09:00,09:25,25,1,5,0,1,1
2024-01-12,T02,Devon R.,Tire Rotation,Sedan,10:30,11:08,38,1,4,0,1,4
2024-01-12,T03,Keisha M.,Tire Mount & Balance,SUV,11:00,12:02,62,0,3,1,0,4
